UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M00001,M,296.2,307.4,1375,46.0,51,0,0,0,0,0,0
2,L00002,L,302.3,312.6,1403,24.6,188,0,0,0,0,0,0
3,H00003,H,302.4,312.3,1227,45.4,176,0,0,0,0,0,0
4,M00004,M,299.1,310.8,1493,39.0,65,0,0,0,0,0,0
5,L00005,L,301.0,311.1,1446,41.0,78,0,0,0,0,0,0
6,H00006,H,299.6,310.5,1865,49.6,111,0,0,0,0,0,0
7,M00007,M,300.5,312.4,1672,31.8,173,0,0,0,0,0,0
8,M00008,M,297.7,308.5,1397,39.7,244,0,0,0,0,0,0
9,L00009,L,301.2,310.2,1168,43.0,252,0,0,0,0,0,0
10,L00010,L,296.7,305.5,1168,37.0,174,0,0,0,0,0,0
11,L00011,L,296.3,306.0,1295,47.2,104,0,0,0,0,0,0
12,H00012,H,299.8,310.5,1234,43.3,22,0,0,0,0,0,0
13,M00013,M,299.6,310.0,1570,34.2,153,0,0,0,0,0,0
14,H00014,H,300.5,312.8,1471,52.6,127,0,0,0,0,0,0
15,L00015,L,298.7,309.1,1503,45.6,170,0,0,0,0,0,0
16,L00016,L,303.8,313.4,1310,31.6,244,0,0,0,0,0,0
17,M00017,M,300.3,309.2,1530,31.5,45,0,0,0,0,0,0
18,L00018,L,300.5,311.6,1216,37.8,94,0,0,0,0,0,0
19,H00019,H,300.4,310.4,1482,44.5,151,0,0,0,0,0,0
20,M00020,M,302.0,310.5,1666,17.9,92,0,0,0,0,0,0
21,M00021,M,301.2,311.2,1427,32.0,48,0,0,0,0,0,0
22,L00022,L,300.9,309.9,1589,34.2,151,0,0,0,0,0,0
23,H00023,H,301.5,311.0,1168,25.6,15,1,0,0,1,0,0
24,H00024,H,296.4,306.4,1168,29.8,100,0,0,0,0,0,0
25,M00025,M,296.4,305.5,1565,41.4,249,0,0,0,0,0,0
26,L00026,L,299.8,309.4,1709,35.1,121,0,0,0,0,0,0
27,L00027,L,299.6,308.9,1452,35.9,26,0,0,0,0,0,0
28,L00028,L,301.2,310.4,1929,26.2,211,0,0,0,0,0,0
29,L00029,L,300.0,309.0,1211,37.9,45,0,0,0,0,0,0
30,M00030,M,301.2,310.7,1364,25.0,66,0,0,0,0,0,0
31,M00031,M,297.5,306.6,1528,54.6,246,0,0,0,0,0,0
32,H00032,H,300.0,310.6,1593,57.4,201,0,0,0,0,0,0
33,L00033,L,297.3,307.5,1383,35.3,81,0,0,0,0,0,0
34,L00034,L,300.8,312.0,1288,28.8,164,0,0,0,0,0,0
35,L00035,L,296.2,308.1,1624,48.5,123,0,0,0,0,0,0
36,L00036,L,300.7,311.4,1527,45.9,226,0,0,0,0,0,0
37,L00037,L,297.1,307.5,1431,58.7,142,0,0,0,0,0,0
38,L00038,L,299.2,310.0,1600,61.4,167,0,0,0,0,0,0
39,L00039,L,301.8,312.3,1473,19.7,38,0,0,0,0,0,0
40,M00040,M,300.5,310.5,1472,51.6,66,0,0,0,0,0,0
41,L00041,L,296.7,306.7,1465,37.8,7,0,0,0,0,0,0
42,H00042,H,298.7,307.6,1336,45.5,154,0,0,0,0,0,0
43,M00043,M,297.0,307.8,1315,47.8,145,0,0,0,0,0,0
44,L00044,L,296.6,306.6,1395,47.4,78,0,0,0,0,0,0
45,H00045,H,300.2,311.7,1506,50.0,64,0,0,0,0,0,0
46,H00046,H,301.1,312.0,1168,34.4,120,0,0,0,0,0,0
47,L00047,L,300.9,310.3,1689,30.5,26,0,0,0,0,0,0
48,L00048,L,301.2,312.5,1504,51.9,216,1,0,0,0,1,0
49,M00049,M,300.0,307.4,1287,31.3,213,0,0,0,0,0,0
50,L00050,L,299.5,311.4,1823,58.6,151,0,0,0,0,0,0
51,L00051,L,297.9,306.5,1508,32.4,228,0,0,0,0,0,0
52,L00052,L,299.1,309.6,1233,36.2,155,0,0,0,0,0,0
53,M00053,M,297.4,307.8,1814,38.1,127,0,0,0,0,0,0
54,M00054,M,298.3,309.4,1771,24.6,155,0,0,0,0,0,0
55,M00055,M,300.2,309.8,1318,24.6,25,1,0,0,1,0,0
56,M00056,M,299.8,307.6,1435,49.1,58,0,0,0,0,0,0
57,L00057,L,306.1,315.8,1408,22.8,141,0,0,0,0,0,0
58,M00058,M,297.3,307.1,1168,65.2,31,0,0,0,0,0,0
59,L00059,L,299.7,307.7,1565,39.1,205,0,0,0,0,0,0
60,L00060,L,297.2,307.2,1669,29.7,43,0,0,0,0,0,0
61,M00061,M,299.2,308.1,1631,44.2,109,0,0,0,0,0,0
62,L00062,L,299.3,310.0,1507,15.4,123,0,0,0,0,0,0
63,M00063,M,301.7,311.4,1688,36.7,43,0,0,0,0,0,0
64,M00064,M,299.1,311.1,1273,37.9,64,0,0,0,0,0,0
65,M00065,M,299.6,309.4,1864,27.3,126,0,0,0,0,0,0
66,M00066,M,299.1,309.6,1346,33.7,30,0,0,0,0,0,0
67,M00067,M,297.2,307.0,1368,55.3,50,0,0,0,0,0,0
68,L00068,L,298.7,307.1,1385,41.8,6,0,0,0,0,0,0
69,L00069,L,299.2,309.0,1370,44.0,128,0,0,0,0,0,0
70,L00070,L,300.1,310.9,1461,32.1,208,0,0,0,0,0,0
71,L00071,L,301.1,311.7,1454,26.8,205,0,0,0,0,0,0
72,L00072,L,299.5,309.2,1526,37.6,90,0,0,0,0,0,0
73,H00073,H,299.5,308.0,1336,15.4,179,0,0,0,0,0,0
74,L00074,L,296.6,307.2,1533,29.0,250,0,0,0,0,0,0
75,L00075,L,301.1,311.5,1282,27.5,107,0,0,0,0,0,0
76,L00076,L,298.6,309.5,1646,19.6,231,0,0,0,0,0,0
77,L00077,L,301.5,311.2,1644,46.5,197,0,0,0,0,0,0
78,M00078,M,302.6,310.9,1499,38.7,48,0,0,0,0,0,0
79,M00079,M,299.6,310.2,1370,33.8,115,0,0,0,0,0,0
80,M00080,M,298.0,307.9,1562,46.7,238,0,0,0,0,0,0
81,M00081,M,300.0,311.4,1322,23.6,45,0,0,0,0,0,0
82,L00082,L,300.7,310.7,1507,26.6,15,0,0,0,0,0,0
83,H00083,H,299.4,309.3,1470,51.2,73,0,0,0,0,0,0
84,L00084,L,298.9,309.3,2026,62.8,1,0,0,0,0,0,0
85,L00085,L,301.1,310.5,1255,46.8,32,0,0,0,0,0,0
